City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
243,minas de marcona,-15.2119,-75.1103,58.64,73,47,15.17,PE,1690058626
244,klyuchi,52.2667,79.1667,65.08,57,63,7.07,RU,1690058588
245,waddan,29.1614,16.139,90.79,22,0,19.08,LY,1690058627
246,colares,38.7992,-9.4469,68.99,79,20,30.0,PT,1690058627
247,baskil,38.5679,38.8238,76.84,35,0,6.33,TR,1690058627
248,sao miguel do araguaia,-13.275,-50.1628,83.5,31,8,5.84,BR,1690058628
249,stanisic,45.94,19.1653,62.53,89,30,8.39,RS,1690058628
250,tolanaro,-25.0319,46.9987,66.27,94,40,16.11,MG,1690058629
251,acarau,-2.8856,-40.12,79.12,75,10,17.07,BR,1690058629
252,jamestown,42.097,-79.2353,78.53,50,40,10.36,US,1690058534
253,tarko-sale,64.9225,77.785,69.33,70,100,7.76,RU,1690058630
254,nadym,65.5333,72.5167,62.2,95,70,9.71,RU,1690058631
255,nogliki,51.8333,143.1667,63.57,87,80,12.24,RU,1690058631
256,rajpur,22.3,74.35,76.71,96,100,7.43,IN,1690058632
257,kota belud,6.351,116.4305,76.3,73,100,4.85,MY,1690058632
258,stargard,53.3367,15.0499,64.78,47,97,5.86,PL,1690058633
259,mechetinskaya,46.7713,40.456,70.3,41,0,4.41,RU,1690058634
260,zenica,44.2014,17.9064,69.26,76,0,3.49,BA,1690058634
261,bure,10.7,37.0667,57.6,96,100,3.71,ET,1690058634
262,lintong,34.378,109.2089,75.88,52,30,2.55,CN,1690058635
263,necochea,-38.5473,-58.7368,51.49,83,100,2.48,AR,1690058635
264,dunedin,-45.8742,170.5036,53.08,95,100,5.01,NZ,1690058636
265,atmore,31.0238,-87.4939,90.57,56,98,4.38,US,1690058636
266,belen,36.4891,36.2233,75.34,74,0,20.71,TR,1690058637
267,vielha,42.6846,0.7726,60.06,71,31,4.59,ES,1690058638
268,port alfred,-33.5906,26.891,56.17,94,8,1.99,ZA,1690058572
269,lycksele,64.5954,18.6735,55.27,94,75,3.44,SE,1690058639
